State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Delhi,45.11,Honda,Dio,82114,2023,541,Petrol,36.83,Third,2023,Expired,Individual,33757.75,Tier 1
Gujarat,40.19,TVS,Sport,214316,2023,893,Hybrid,67.88,Third,2023,Active,Dealer,161265.41,Tier 3
Uttar Pradesh,17.75,Kawasaki,Ninja 400,194396,2021,268,Petrol,49.4,First,2021,Not Available,Individual,111751.02,Tier 2
Maharashtra,24.39,TVS,Apache RTR 160,398017,2015,510,Hybrid,86.93,Second,2018,Active,Dealer,208424.27,Tier 3
Tamil Nadu,5.01,Honda,Shine,252763,2019,235,Petrol,58.71,Third,2022,Not Available,Dealer,191177.64,Tier 1
Rajasthan,13.83,TVS,Sport,105989,2024,397,Electric,69.45,Third,2024,Expired,Individual,73023.48,Tier 1
Madhya Pradesh,29.36,Hero,Glamour,227568,2022,105,Electric,87.57,Third,2022,Not Available,Dealer,148291.88,Metro
Delhi,50.37,KTM,RC 390,197036,2016,986,Hybrid,71.9,Second,2020,Not Available,Dealer,104145.28,Tier 3
Tamil Nadu,66.35,Kawasaki,Ninja 300,363149,2016,464,Hybrid,92.06,Third,2018,Expired,Individual,206857.8,Tier 3
West Bengal,42.56,Honda,Unicorn,335346,2023,869,Hybrid,71.46,Second,2024,Active,Dealer,248193.98,Tier 2
Rajasthan,12.34,Bajaj,Pulsar 150,296836,2021,983,Hybrid,99.9,First,2021,Not Available,Individual,130167.29,Tier 1
Tamil Nadu,12.59,Bajaj,Avenger 220,323235,2024,158,Electric,93.36,Second,2024,Not Available,Individual,165176.17,Tier 3
Tamil Nadu,41.75,Yamaha,FZ V3,251858,2024,193,Hybrid,92.66,First,2024,Active,Individual,185017.03,Tier 1
Rajasthan,52.51,Yamaha,R15 V4,103906,2024,605,Petrol,46.27,First,2024,Not Available,Individual,47612.58,Metro
Madhya Pradesh,60.79,TVS,Ronin,122641,2024,729,Electric,85.79,Third,2024,Not Available,Dealer,96164.51,Tier 2
West Bengal,28.5,Bajaj,Dominar 400,386215,2017,445,Petrol,26.09,Third,2018,Active,Dealer,245041.18,Tier 1
West Bengal,37.54,TVS,Sport,385671,2019,369,Hybrid,93.74,Second,2024,Active,Dealer,229843.47,Tier 2
West Bengal,71.47,TVS,Ronin,280350,2022,817,Petrol,34.37,Second,2024,Expired,Individual,117145.83,Tier 3
Uttar Pradesh,26.27,Bajaj,Avenger 220,100854,2016,615,Petrol,35.58,Third,2019,Expired,Individual,74877.79,Tier 1
Madhya Pradesh,70.9,TVS,Sport,99577,2015,169,Hybrid,94.67,First,2015,Not Available,Dealer,57421.87,Tier 1
Punjab,62.97,Bajaj,Pulsar 150,309441,2020,715,Electric,86.06,First,2020,Active,Individual,199917.17,Tier 2
Delhi,65.75,Royal Enfield,Interceptor 650,273997,2022,209,Petrol,58.73,Second,2023,Active,Individual,215428.56,Tier 2
Delhi,47.8,Honda,Unicorn,259385,2022,195,Electric,93.35,First,2022,Expired,Individual,197760.05,Tier 2
Punjab,36.81,Hero,Splendor Plus,79908,2023,971,Petrol,54.43,Third,2023,Not Available,Individual,54363.32,Tier 3
Karnataka,35.39,TVS,Apache RTR 160,385822,2019,765,Petrol,42.97,First,2019,Active,Dealer,209566.7,Tier 2
Gujarat,24.81,Hero,HF Deluxe,161105,2023,105,Hybrid,86.61,First,2023,Expired,Individual,91744.22,Tier 1
Uttar Pradesh,26.88,Bajaj,Avenger 220,214030,2016,176,Petrol,52.02,Third,2018,Not Available,Dealer,91233.3,Tier 2
West Bengal,43.79,KTM,390 Adventure,325963,2022,375,Hybrid,64.4,Second,2022,Expired,Dealer,157743.79,Tier 1
West Bengal,55.91,Honda,Dio,136156,2016,579,Petrol,31.95,First,2016,Active,Dealer,65576.03,Tier 3
Punjab,44.7,Hero,Glamour,198786,2019,542,Petrol,29.49,First,2019,Expired,Individual,145261.54,Tier 2
Uttar Pradesh,13.58,Hero,Xtreme 160R,250462,2015,647,Electric,88.97,Third,2017,Not Available,Individual,115865.15,Tier 1
West Bengal,11.01,TVS,Ronin,236303,2021,877,Petrol,53.11,Third,2023,Active,Individual,103242.42,Tier 3
Karnataka,32.64,Honda,Shine,336638,2017,575,Hybrid,70.37,Third,2021,Not Available,Individual,238462.12,Tier 3
Madhya Pradesh,39.46,TVS,NTorq 125,292002,2016,277,Electric,82.5,Second,2019,Active,Dealer,215862.87,Tier 3
West Bengal,48.16,Yamaha,Fascino 125,140993,2022,382,Hybrid,77.81,Third,2022,Not Available,Individual,96056.57,Tier 3
Punjab,30.35,Bajaj,Avenger 220,91498,2018,973,Electric,61.28,Third,2020,Active,Dealer,46132.61,Metro
Tamil Nadu,22.58,Yamaha,FZ V3,65569,2015,169,Hybrid,73.29,First,2015,Active,Individual,35079.4,Tier 3
Karnataka,60.74,KTM,390 Adventure,61526,2016,598,Electric,81.38,Second,2022,Not Available,Individual,27992.34,Metro
Tamil Nadu,20.63,Honda,Shine,146308,2019,808,Hybrid,83.77,Second,2022,Not Available,Dealer,80884.08,Tier 2
Tamil Nadu,8.92,Yamaha,Fascino 125,326280,2017,837,Hybrid,88.88,Second,2023,Expired,Individual,203791.95,Tier 3
Maharashtra,23.12,Yamaha,FZ V3,116504,2017,699,Hybrid,90.02,Third,2022,Expired,Individual,53430.47,Tier 2
Karnataka,31.27,TVS,Apache RTR 160,224917,2016,454,Petrol,27.28,Third,2024,Expired,Dealer,103546.72,Tier 3
Tamil Nadu,76.53,Bajaj,Avenger 220,66953,2015,692,Petrol,46.34,Third,2018,Active,Individual,40528.9,Tier 1
Tamil Nadu,68.73,Kawasaki,Ninja 300,239548,2015,998,Petrol,33.1,Third,2021,Not Available,Individual,153335.69,Tier 2
Madhya Pradesh,56.35,TVS,Ronin,101199,2018,230,Electric,90.48,First,2018,Expired,Individual,66574.27,Metro
Madhya Pradesh,59.34,TVS,Apache RTR 160,356435,2024,662,Electric,65.06,Third,2024,Not Available,Dealer,250941.57,Tier 2
Punjab,75.51,Yamaha,R15 V4,363271,2024,612,Petrol,29.12,First,2024,Active,Individual,182952.79,Metro
Maharashtra,56.7,Kawasaki,Ninja 300,375575,2015,530,Petrol,42.98,First,2015,Not Available,Dealer,291922.32,Metro
Gujarat,30.39,Kawasaki,Versys 650,130472,2017,857,Hybrid,63.08,First,2017,Expired,Dealer,67273.42,Tier 1
Karnataka,74.59,Yamaha,Ray ZR,396806,2018,954,Petrol,54.56,First,2018,Not Available,Dealer,174047.2,Tier 2
Delhi,58.04,TVS,Sport,75299,2018,484,Petrol,30.61,First,2018,Active,Dealer,59021.8,Tier 1
Maharashtra,13.42,Honda,Unicorn,155436,2024,133,Petrol,51.53,Third,2024,Active,Dealer,109227.11,Tier 2
Tamil Nadu,9.38,TVS,Apache RTR 160,142576,2016,705,Petrol,31.41,Second,2021,Not Available,Individual,77826.08,Metro
Karnataka,22.43,Honda,CBR 650R,207485,2015,133,Electric,62.38,First,2015,Active,Individual,116449.3,Tier 1
Delhi,64.54,Bajaj,Pulsar 150,395607,2022,136,Hybrid,91.96,First,2022,Not Available,Dealer,289590.78,Metro
Delhi,55.63,Bajaj,CT 100,320670,2023,425,Hybrid,70.59,Third,2024,Expired,Individual,154994.96,Metro
Uttar Pradesh,56.01,Honda,Activa,364901,2021,105,Hybrid,70.45,Third,2021,Expired,Dealer,205957.55,Metro
Delhi,59.65,Kawasaki,Z650,320388,2022,680,Electric,65.63,First,2022,Not Available,Individual,139114.13,Tier 1
Tamil Nadu,57.46,Bajaj,Dominar 400,307685,2021,787,Petrol,26.19,First,2021,Active,Individual,135348.28,Metro
Maharashtra,12.21,Kawasaki,Ninja 400,125721,2021,256,Petrol,51.54,First,2021,Expired,Individual,87080.18,Tier 3
Tamil Nadu,31.13,KTM,250 Duke,120785,2016,842,Electric,60.76,Third,2018,Expired,Dealer,58524.42,Tier 1
Rajasthan,68.86,TVS,Apache RTR 160,322805,2020,274,Electric,69.06,Third,2021,Not Available,Dealer,179197.1,Metro
Maharashtra,40.26,Honda,Activa,278177,2022,520,Hybrid,87.52,First,2022,Not Available,Individual,183999.58,Tier 1
Madhya Pradesh,56.33,Yamaha,MT-15,376238,2017,827,Hybrid,74.64,Second,2021,Not Available,Dealer,292050.9,Tier 2
Maharashtra,58.88,TVS,Jupiter,203805,2015,979,Electric,60.96,Second,2022,Active,Dealer,141970.73,Tier 2
Madhya Pradesh,38.92,TVS,NTorq 125,376543,2020,718,Hybrid,65.83,First,2020,Active,Dealer,212871.29,Metro
Gujarat,42.76,Bajaj,Dominar 400,393995,2018,293,Hybrid,68.7,Third,2020,Expired,Dealer,219346.47,Tier 1
Madhya Pradesh,71.06,Royal Enfield,Hunter 350,252320,2023,807,Electric,81.94,Second,2023,Active,Individual,120037.48,Tier 3
Tamil Nadu,33.77,Bajaj,CT 100,121087,2022,151,Petrol,37.81,Second,2023,Expired,Individual,55965.1,Tier 2
Punjab,36.19,KTM,250 Duke,275695,2015,617,Hybrid,90.42,Third,2015,Not Available,Individual,201257.8,Tier 2
Punjab,38.31,KTM,RC 390,340454,2016,103,Hybrid,66.65,Second,2019,Expired,Individual,262394.28,Tier 3
Gujarat,34.94,Yamaha,Fascino 125,141000,2015,593,Electric,72.83,Third,2019,Expired,Dealer,81853.75,Tier 2
Maharashtra,48.08,Yamaha,Fascino 125,320003,2019,380,Hybrid,66.92,First,2019,Not Available,Individual,205911.58,Tier 2
Madhya Pradesh,41.71,TVS,Sport,379513,2019,593,Petrol,44.83,Third,2022,Not Available,Dealer,239699.49,Tier 3
Maharashtra,19.62,Bajaj,CT 100,135697,2020,519,Petrol,30.18,Second,2020,Expired,Individual,57333.52,Tier 1
Tamil Nadu,17.72,Yamaha,FZ V3,222167,2019,670,Hybrid,80.82,Third,2024,Expired,Dealer,144576.81,Tier 1
Maharashtra,37.9,Kawasaki,Ninja 300,91212,2020,765,Petrol,37.22,Second,2023,Not Available,Dealer,61811.9,Tier 2
Rajasthan,35.83,Kawasaki,Ninja 400,203537,2024,395,Petrol,46.35,First,2024,Active,Dealer,87374.49,Tier 3
Uttar Pradesh,46.01,Hero,Passion Pro,221366,2021,548,Hybrid,65.05,Third,2024,Active,Dealer,143221.15,Metro
Uttar Pradesh,38.37,Kawasaki,Ninja 300,134073,2024,513,Petrol,49.64,Third,2024,Active,Individual,59613.59,Tier 3
Tamil Nadu,57.96,KTM,250 Duke,332860,2018,948,Petrol,36.24,Second,2023,Active,Dealer,213065.8,Tier 2
Punjab,42.28,Bajaj,Avenger 220,77951,2024,351,Electric,78.87,Third,2024,Active,Individual,58220.21,Tier 3
West Bengal,50.98,TVS,Ronin,119946,2021,893,Electric,76.14,First,2021,Not Available,Dealer,70010.31,Tier 3
Rajasthan,72.95,Yamaha,Ray ZR,161061,2016,785,Electric,93.42,First,2016,Not Available,Individual,79906.81,Metro
Uttar Pradesh,45.25,Kawasaki,Ninja 300,211015,2015,899,Hybrid,83.06,Third,2022,Expired,Individual,132101.72,Tier 2
West Bengal,10.98,TVS,Sport,272377,2021,536,Electric,88.46,Third,2021,Not Available,Individual,194324.61,Metro
Delhi,66.8,Royal Enfield,Interceptor 650,51819,2015,658,Hybrid,89.99,First,2015,Not Available,Dealer,40071.87,Tier 2
Delhi,57.79,Royal Enfield,Hunter 350,133542,2024,965,Hybrid,60.26,First,2024,Expired,Dealer,74939.98,Tier 2
Gujarat,25.09,KTM,RC 390,389950,2019,401,Hybrid,72.65,Third,2023,Active,Individual,235149.64,Tier 3
West Bengal,65.63,Bajaj,CT 100,134121,2024,401,Petrol,32.55,Third,2024,Expired,Dealer,78547.55,Metro
Madhya Pradesh,35.62,Honda,Activa,223597,2016,322,Electric,85.05,First,2016,Active,Dealer,158829.93,Metro
Maharashtra,18.16,Yamaha,R15 V4,215325,2020,174,Hybrid,79.2,Third,2020,Not Available,Individual,100173.9,Tier 3
Madhya Pradesh,44.41,TVS,Apache RTR 160,261298,2016,294,Electric,72.19,Third,2021,Expired,Dealer,162383.27,Tier 3
Gujarat,68.59,Yamaha,R15 V4,348441,2017,583,Electric,64.86,Third,2017,Active,Individual,229069.06,Tier 2
Rajasthan,47.89,Yamaha,R15 V4,52332,2019,453,Electric,97.15,Third,2024,Not Available,Dealer,34387.4,Tier 3
Uttar Pradesh,10.0,Honda,Shine,342869,2018,479,Electric,77.72,Second,2023,Not Available,Individual,240583.32,Tier 1
Tamil Nadu,12.15,Hero,Passion Pro,178709,2019,406,Electric,83.0,Second,2021,Active,Dealer,126289.57,Tier 3
Madhya Pradesh,37.69,Hero,Splendor Plus,304466,2015,930,Electric,99.83,First,2015,Expired,Dealer,177765.68,Tier 2
Maharashtra,25.52,KTM,250 Duke,340286,2018,438,Electric,65.19,Second,2021,Active,Individual,163750.28,Tier 1
Karnataka,78.02,Kawasaki,Z650,297335,2015,835,Electric,64.72,Second,2020,Not Available,Dealer,128081.71,Tier 2
Delhi,54.79,KTM,125 Duke,296622,2021,453,Hybrid,63.06,Third,2021,Active,Individual,132567.49,Tier 3
Punjab,61.73,Bajaj,Dominar 400,159344,2015,128,Electric,93.49,First,2015,Not Available,Dealer,80211.84,Tier 2
Rajasthan,77.65,Bajaj,CT 100,241907,2024,530,Hybrid,77.05,First,2024,Not Available,Individual,144021.7,Tier 2
Delhi,79.21,Hero,Passion Pro,198952,2021,816,Petrol,49.02,First,2021,Active,Individual,103419.59,Metro
Maharashtra,56.15,TVS,Jupiter,164488,2021,670,Electric,65.26,Second,2023,Active,Individual,124264.09,Tier 2
Uttar Pradesh,16.1,Royal Enfield,Interceptor 650,167254,2020,109,Electric,84.15,Second,2021,Not Available,Dealer,129455.7,Metro
Tamil Nadu,72.23,Kawasaki,Z650,155574,2024,840,Petrol,49.8,Second,2024,Expired,Individual,121376.15,Tier 1
West Bengal,38.2,Yamaha,Fascino 125,196186,2023,519,Petrol,35.81,First,2023,Active,Dealer,83122.39,Metro
Rajasthan,33.62,TVS,Apache RTR 160,305039,2017,539,Electric,83.44,First,2017,Expired,Dealer,215505.69,Metro
West Bengal,73.16,Royal Enfield,Meteor 350,395649,2017,999,Petrol,41.0,Third,2021,Expired,Dealer,265851.43,Tier 3
Punjab,48.46,Kawasaki,Vulcan S,369820,2019,654,Electric,89.35,First,2019,Not Available,Individual,246408.54,Metro
Tamil Nadu,71.63,KTM,Duke 200,320626,2022,270,Petrol,46.57,Third,2023,Not Available,Dealer,156453.23,Tier 1
Maharashtra,76.24,TVS,Jupiter,59238,2019,613,Electric,74.92,Second,2021,Not Available,Dealer,23956.86,Tier 1
Punjab,63.97,Hero,Passion Pro,329516,2017,485,Petrol,43.94,Third,2022,Not Available,Dealer,155553.74,Tier 1
Madhya Pradesh,71.65,KTM,390 Adventure,356130,2020,272,Electric,84.67,Third,2020,Active,Individual,233134.59,Tier 2
Delhi,39.74,Royal Enfield,Hunter 350,112752,2019,982,Petrol,43.97,First,2019,Active,Dealer,81759.61,Tier 2
Madhya Pradesh,72.93,Honda,Unicorn,284450,2019,309,Electric,93.55,Third,2019,Not Available,Dealer,167439.48,Tier 3
Gujarat,72.36,Hero,HF Deluxe,139577,2018,225,Petrol,35.75,Third,2020,Expired,Individual,76341.38,Tier 2
Delhi,18.32,Yamaha,MT-15,78965,2017,291,Petrol,40.01,First,2017,Not Available,Individual,38817.63,Tier 3
Rajasthan,56.64,KTM,RC 390,399424,2016,216,Electric,70.49,Third,2020,Active,Dealer,264211.83,Tier 1
West Bengal,28.6,Kawasaki,Ninja 300,148025,2015,258,Petrol,34.53,Second,2021,Active,Individual,116341.5,Metro
Madhya Pradesh,20.84,Royal Enfield,Meteor 350,371689,2017,797,Petrol,41.04,Third,2023,Active,Individual,201442.56,Tier 3
Maharashtra,9.32,Kawasaki,Ninja 400,215843,2024,187,Petrol,33.49,Third,2024,Not Available,Dealer,150887.27,Metro
Maharashtra,31.57,Royal Enfield,Hunter 350,149995,2020,309,Hybrid,93.76,Third,2020,Expired,Individual,70595.68,Tier 3
Delhi,70.95,Royal Enfield,Meteor 350,135677,2024,706,Hybrid,92.94,Second,2024,Active,Individual,69640.3,Tier 1
Delhi,25.66,Royal Enfield,Hunter 350,274366,2017,627,Petrol,55.07,First,2017,Expired,Dealer,211887.68,Metro
Madhya Pradesh,37.83,Kawasaki,Ninja 300,101679,2016,593,Electric,87.72,First,2016,Expired,Dealer,51278.29,Tier 1
West Bengal,25.56,KTM,250 Duke,370456,2020,357,Hybrid,93.4,First,2020,Active,Individual,285118.2,Tier 3
Maharashtra,32.05,Hero,HF Deluxe,174191,2017,292,Hybrid,70.26,Third,2023,Expired,Dealer,111118.16,Tier 2
Delhi,16.39,Kawasaki,Vulcan S,373371,2019,382,Hybrid,98.75,First,2019,Active,Dealer,193837.42,Metro
Karnataka,49.58,Honda,Activa,316877,2019,793,Petrol,35.37,Third,2022,Active,Individual,172802.36,Tier 3
West Bengal,40.32,TVS,Sport,213681,2021,864,Petrol,54.62,First,2021,Active,Individual,141674.8,Metro
Punjab,14.07,TVS,Apache RTR 160,133805,2023,372,Electric,81.54,Second,2023,Expired,Individual,75051.13,Tier 1
Karnataka,77.22,Hero,Splendor Plus,211399,2023,530,Petrol,56.83,Second,2023,Expired,Individual,95030.83,Tier 2
Karnataka,32.95,Bajaj,Pulsar 150,311628,2015,508,Hybrid,60.06,First,2015,Active,Individual,173323.11,Tier 1
Maharashtra,45.36,Yamaha,Ray ZR,167945,2019,695,Petrol,43.72,First,2019,Not Available,Dealer,73557.17,Tier 2
Tamil Nadu,52.45,Royal Enfield,Interceptor 650,112747,2016,516,Hybrid,71.36,Third,2023,Expired,Dealer,47298.94,Tier 3
Punjab,36.67,Hero,Splendor Plus,392747,2016,290,Petrol,50.94,Second,2021,Active,Dealer,158485.92,Tier 3
Uttar Pradesh,48.73,Yamaha,Fascino 125,338831,2022,166,Electric,87.17,Second,2023,Not Available,Dealer,196061.24,Tier 1
Punjab,35.32,Bajaj,CT 100,178049,2021,520,Hybrid,87.18,First,2021,Expired,Dealer,114981.3,Tier 3
West Bengal,27.6,KTM,Duke 200,398287,2016,479,Hybrid,86.01,Third,2017,Active,Individual,274925.1,Metro
Rajasthan,65.48,TVS,Ronin,137017,2023,359,Electric,96.33,Third,2024,Active,Dealer,79347.72,Tier 1
Uttar Pradesh,50.78,Royal Enfield,Classic 350,75068,2023,565,Hybrid,87.87,Second,2024,Expired,Individual,45342.56,Tier 3
Karnataka,50.73,KTM,250 Duke,330157,2023,686,Hybrid,87.08,First,2023,Expired,Dealer,208574.66,Metro
Tamil Nadu,45.3,TVS,Ronin,384386,2019,430,Electric,87.44,Second,2024,Expired,Individual,220812.99,Tier 1
Delhi,66.77,TVS,Ronin,364764,2022,581,Electric,99.07,Second,2023,Active,Dealer,148449.0,Tier 1
Madhya Pradesh,62.05,KTM,RC 390,233560,2019,654,Petrol,51.72,First,2019,Not Available,Individual,161293.89,Tier 1
Karnataka,68.69,Honda,Shine,269277,2016,960,Hybrid,73.19,Third,2022,Expired,Individual,191053.38,Tier 3
Uttar Pradesh,17.2,KTM,125 Duke,100351,2019,923,Hybrid,79.1,First,2019,Active,Individual,53013.87,Tier 2
Delhi,76.14,Royal Enfield,Hunter 350,302081,2017,696,Hybrid,77.12,Second,2021,Not Available,Individual,214488.75,Tier 3
Rajasthan,61.36,Bajaj,Avenger 220,76803,2023,515,Electric,94.46,First,2023,Expired,Dealer,45609.78,Tier 2
Karnataka,15.65,Kawasaki,Ninja 400,240262,2020,330,Electric,85.51,First,2020,Active,Dealer,132803.73,Metro
Maharashtra,47.38,KTM,390 Adventure,262491,2024,635,Petrol,45.97,First,2024,Not Available,Individual,201684.49,Tier 3
West Bengal,33.54,TVS,NTorq 125,188250,2024,519,Electric,60.66,Second,2024,Not Available,Individual,77958.01,Tier 3
Delhi,36.8,TVS,Jupiter,259405,2015,947,Petrol,37.45,Second,2020,Active,Dealer,158828.49,Tier 1
